cluster,top_terms
C2,polyethylene terephthalate pet; supporting information; molecular weight; pyrolysis oil; mass spectrometry; catalytic pyrolysis; activation energy; pyrolysis process; thermal degradation; poly ethylene; room temperature; ethylene terephthalate
C3,mechanical properties; tensile strength; polypropylene pp; injection molding; impact strength; differential scanning; scanning calorimetry; wood flour; high-density polyethylene; differential scanning calorimetry; thermal properties
C4,compressive strength; mechanical properties; flexural strength; tensile strength; fine aggregate; properties concrete; water absorption; strength concrete; coarse aggregate; partial replacement; lightweight concrete; coarse aggregates
C5,sustainable development; environmental awareness; climate change; purchase intention; data collected; chemical engineering; school students; engineering education; health care; environmental pollution
C6,supply chain; climate change; environmental impacts; value chain; reverse logistics; sub sub; natural resources; energy recovery; million tons; i e
C7,marine debris; metric tons; human health; u s; value chain; food packaging; flame retardants; environmental impacts; per year; million tons; european union
